word,type,uses
"Wilmington Avenue","street",1
"Sugar Space","establishment",1
"East 3300 South","street",2
"Imagination Place","establishment",1
"Darcy Goddard","name",1
"Maggie Freer","name",1
"Magdalena Maczynska","name",1
"virusboy07","name",1
"Janay MJ","name",1
"South 2000 East","street",1
"The Yoga Center | Sugarhouse","establishment",1
"Brian Klepper","name",1
"South 700 East","street",1
"Lululemon Athletica","establishment",1
"erica jensen","name",1
"Muhammad Awan","name",1
"Windsor Street","street",2
"Yoga Central","establishment",1
"East 3900 South","street",1
"Mountain View Medical Weight Loss & Nutrition","establishment",1
"Studio Soiree","establishment",1
"Park Street","street",1
"Cool E Fitness","establishment",1
"E 3370 S","street",1
"Millcreek","city",1
"Krishna Yoga Center","establishment",1
"Rogelio Quintana","name",1
"South 900 East","street",1
"Bhakti Yoga Lounge","establishment",1
"East 2100 South","street",1
"Integrated School of Yoga","establishment",1
"Nicole Carlson","name",1
"Charles Kimball","name",1
"Robert Vandenaker","name",1
"Angela Minen","name",1
"Lisa Higbee","name",1
"Urban Arts Fitness and Dance Studio","establishment",1
"September Shahravar","name",1
"Guardsman Way","street",1
"Salt Lake City Sports Complex","establishment",1
"Tom F","name",1
"Julian Goddard","name",1
"xPro Gaming PC","name",1
"Benjamin Colters","name",1
"Mudita Yoga","establishment",1
"East Whitlock Avenue","street",1
"Soul Light Connections","establishment",1
"Tobin Biesele","name",1
"Wasatch Ayurveda and Yoga Upstairs","establishment",1
"Jana Bobo","name",1
"Ardy Taylor","name",1
"South Limestone","street",4
"Lexington","city",20
"Kennedy's Wildcat Den","establishment",1
"Adam Lue","name",1
"Quinn Hill","name",1
"grant schickli","name",1
"Kelsey Chavez","name",1
"Ted Chastain","name",1
"CD Central","establishment",1
"Richie Delaney","name",1
"Drake Pregnall","name",1
"Jimmy John's","establishment",1
"Sawyer Curd","name",1
"Samuel Gruber","name",1
"Blake Owens","name",1
"West Loudon Avenue","street",1
"Euclid Avenue","street",2
"Kroger","establishment",1
"Anthony Trabish","name",1
"Kyle Hagan","name",1
"Jordan Harrell","name",1
"sQecial Media","establishment",1
"Robin Ratliff","name",1
"Emily Duncan","name",1
"Emma Goetzinger","name",1
"Linel Rogers","name",1
"Amber Minix","name",1
"South Ashland Avenue","street",1
"John's Run/Walk Shop","establishment",1
"Mallory L","name",1
"Robert Lynch","name",1
"Andrew W Hopewell","name",1
"Student Center Annex","street",1
"University of Kentucky Bookstore","establishment",1
"Matt Sirrine","name",1
"Brian Correa Muñoz","name",1
"West Maxwell Street","street",1
"Bella Rose","establishment",1
"Lori Houlihan","name",1
"New Circle Road","street",1
"Jessica King","name",1
"William Shane","name",1
"Shimra Davis","name",1
"Mark John Korkoryi","name",1
"Richard Adams","name",1
"Clay Avenue","street",1
"Peggy's Gifts & Accessories","establishment",1
"Versailles Road","street",1
"Drew Boggess","name",1
"West Vine Street","street",1
"Artique","establishment",1
"The Beer Trappe","establishment",1
"Heather Teachey","name",1
"Ralph Quillin","name",1
"Rachel Kosmal","name",1
"Graves-Cox & Co","establishment",1
"Woodland Avenue","street",1
"Bluetique Cheap Chic","establishment",1
"East New Circle Road","street",1
"Sling Point Firearms Inc","establishment",1
"Tony Graft","name",1
"Garrett Slater","name",1
"Andrew Duff","name",1
"Martin Harley","name",1
"Andrew Culp","name",1
"Wildcat Wearhouse","establishment",1
"Virginia Avenue","street",1
"KyTrade Computer Services","establishment",1
"Fearganius","name",1
"Tony Bellamy","name",1
"Darby Dupree","name",1
"Charla Hylton","name",1
"John Bolton","name",1
"Jennifer Hall Hollars","name",1
"marcos valdes","name",1
"Gregory King","name",1
"cici johnson","name",1
"Fredrick Hight","name",1
