word,type,uses
"Nathan S Ivey","name",1
"JR CIGAR","establishment",1
"Michael Yancey","name",1
"Bontressa Lovett","name",1
"CVS Pharmacy","establishment",1
"Buffalo Exchange","establishment",1
"Forrest Miller","name",1
"Susannah Friemel","name",1
"Bridge Street Books","establishment",1
"Jorge Molina","name",1
"Kenneth Hau","name",1
"Fahrney's Pens Inc","establishment",1
"Louis Smith","name",1
"Scott Proper","name",1
"Edward Blum","name",1
"Julian Hipkins","name",1
"Bed Bath & Beyond","establishment",1
"Morgane Renoir","name",1
"Charlotte Lewis","name",1
"Mary M","name",1
"Matthew Bennett","name",1
"Willow Creek Advanced Tech Inc","establishment",1
"Little Horse Trading Co","establishment",1
"Wareham","city",18
"Target Pharmacy","establishment",1
"Ron Lindholm","name",1
"Joseph Titlebaum","name",1
"AT&T","establishment",1
"Cranberry Highway","street",8
"Target","establishment",3
"Belsten Chua","name",1
"L.L.Bean","establishment",1
"Graham Mogollon","name",1
"Michael Patten","name",1
"Famous Footwear","establishment",1
"Marion Road","street",2
"Main Street","street",2
"CVS Pharmacy - Photo","establishment",1
"Derek Trum","name",1
"mark gomes","name",1
"Elm Street","street",1
"Old Company Store","establishment",1
"Michaels","establishment",1
"Old Navy","establishment",2
"Dunkin' Donuts","establishment",1
"Kristen Garlet","name",1
"Sean Smith","name",1
"Onset Village Music","establishment",1
"AKJ Auto Sales","establishment",1
"Sue L","name",1
"Mark Weatherby","name",1
"jenna ohearn","name",1
"Petco Animal Supplies","establishment",1
"Aubuchon Hardware","establishment",1
"Tow Road","street",1
"Factory Five Racing, Inc.","establishment",1
"Ramoon HxH","name",1
"Neil Gouveia","name",1
"Wareham Crossing","establishment",1
"South Coast Hearth & Patio","establishment",1
"Surrey Place","street",2
"Perry","city",4
"Ballistic Beads Beyond Inc","establishment",1
"Grovania Road","street",1
"Hawkinsville","city",1
"Deep South Hog Dog Supply.Com","establishment",1
"U.S. 341","street",1
"Quality Tire Recycling","establishment",1
"Pats Protective Products","establishment",1
"S Hwy 247","street",1
"Davidson's Grocers","establishment",1
"Georgia 247","street",1
"Kathleen","city",1
"E Z Thrift","establishment",1
"Saint Cloud","city",1
"Hänks Häuser","establishment",1
"Center Point Parkway","street",8
"Birmingham","city",8
"EyeCare Associates: Center Point","establishment",1
"Maurita Ward","name",1
"Carson Road","street",1
"Pioneer Bookstore","establishment",1
"Center Point","city",10
"Kim's Fashions","establishment",1
"Huffman Road","street",1
"Simply Fashion","establishment",1
"An Elegant Affair","establishment",1
"Kerri Lane","street",1
"Just Right Costumes Lingerie","establishment",1
"K & K Fashions","establishment",1
"Trafalgar Square","street",1
"LenaColette","establishment",1
"Suit Shop","establishment",1
"Springville Road","street",1
"Kamesha Johnson","name",1
"Sterling Glen Drive","street",1
"Pinson","city",2
"Katey Jades Baby Boutique","establishment",1
"Sonya's Stuff","establishment",1
"21st Avenue Northwest","street",1
"Cassandra's Fashions","establishment",1
"6th Street Northwest","street",1
"Ace Reweaving & Alterations","establishment",1
"Eye Care Associates Inc: Jennifer Williams OD","establishment",1
"26th Avenue Northwest","street",1
"Sax Pet Boutique","establishment",1
"1st Street Northeast","street",1
"Blanks Boutique - Embroidery Blanks","establishment",1
"Winola Lane","street",1
"Top It Off Essentials Inc","establishment",1
"Runway Style Bar & Boutique","establishment",1
"North 4th Street","street",1
"Lake Mary","city",16
"Inner Beauty Skin Care, Inc.","establishment",1
"Amber Clore","name",1
"Robin Zimmerman Ritchie","name",1
"Meagan Eissele","name",1
"Ali Rittenhouse","name",1
"Timberlachen Circle","street",1
"Abitare Salon","establishment",1
"West Lake Mary Boulevard","street",7
"Salon Diva","establishment",1
"Ryan dalton","name",1
"Sara Rivera","name",1
"Teri Welden","name",1
"Roxanne Charon","name",1
"Ashley Simmons","name",1
"Hair Cuttery","establishment",1
"Nick Noll","name",1
"sarah cross","name",1
"Julie DiGirolamo","name",3
"JULIENE DAUB","name",1
"Chelsie Hudson","name",1
"West Lakeview Avenue","street",1
"Shades Salon","establishment",1
"mia gatta","name",1
"Elizabeth Nikollaj","name",1
"Ecco Nails & Spa","establishment",1
"Meagan Mance","name",1
"Cornette Barfield","name",1
"Victoria Campos","name",1
"A Cc","name",1
"edgecretsgal","name",1
"Lake Emma Road","street",2
"Great Clips Lake Mary Centre","establishment",1
"Peter Ishak","name",1
"Sanford","city",3
"Fantastic Sams Hair Salons","establishment",1
"AGP NineNine","name",1
"Elizabeth Vickers Kempe","name",1
"South Sun Drive","street",1
"Salon Ratay","establishment",1
"Cindy McKnight","name",1
"Caroline Killian","name",1
"Sarah G","name",1
"Jan Garcias","name",1
"Primera Boulevard","street",1
"Primera Salon & Spa","establishment",1
"Evin P","name",1
"Dana B.","name",1
"Mid Florida Dermatology Lake Mary","establishment",1
"Eleyda Contreras","name",1
"Michelle Atwell","name",1
"Robert Cushen","name",1
"Art Hernandez","name",1
"Nail Spa","establishment",1
"Elena DeLuca","name",1
"Nicole Mills","name",1
"North Country Club Road","street",1
"Studio 209 Beauty Salon","establishment",1
"Madeline Nolden","name",1
"Lisa Hall","name",1
"Christopher Henry","name",1
"Supercuts","establishment",1
"Paige Lemay","name",1
"Jeffrey Frye","name",1
"Cool Cuts 4 Kids","establishment",1
"Patricia Stevenson","name",1
"County Road 427","street",1
"Longwood","city",1
"Cosmopolitan Salon & Beauty","establishment",1
"ashley jordan smith","name",1
"Permanent Solution","establishment",1
"Spike Zombiie","name",1
"Rinehart Road","street",1
"For Your Nails Plus Tan","establishment",1
"South Orlando Drive","street",1
"Smartstyle Family Hair Salon","establishment",1
"Electric Beach Tanning","establishment",1
"North Kilroy Road","street",1
"Turlock","city",19
"Turlock Regional Sports Complex","establishment",1
"Jose Gonzalez","name",1
"Juan Manuel Jimenez","name",1
"Broadway Park","establishment",1
"Diana Pulido","name",1
"charlie kelley","name",1
"North Soderquist Road","street",1
"Turlock Memorial Park and Funeral Home","establishment",1
"Ruby Oliveira","name",1
"Twizzle Dog","name",1
"Seasons Park Drive","street",1
"Four Seasons Park","establishment",1
"Ana Tovar","name",1
"North Tegner Road","street",1
"Atch Pedretti Park","establishment",1
"North Berkeley Avenue","street",1
"Markley Park","establishment",1
"Matthew Davies","name",1
"Castleview Drive","street",1
"Bristol Park","establishment",1
"Fulkerth Road","street",1
"Summerfaire Park","establishment",1
"Central Park","establishment",1
"Sandy Way","street",1
"Ferreira Ranch Park","establishment",1
"East Christoffersen Parkway","street",1
"Christoffersen Park","establishment",1
"Teague Park","establishment",1
"Cherry Blossom Lane","street",1
"Dale Pinkney Park","establishment",1
"Mariposa Drive","street",2
"Sustainable Garden","establishment",1
"University Circle","street",1
"The Quad","establishment",1
"Geer Road","street",1
"Green Horizon Landscaping","establishment",1
"Trans-California Pathway Project","establishment",1
"John Wold","name",1
"Denair","city",1
"Denair Cemetery","establishment",1
"Pedras Road","street",1
"Donnelly Park","establishment",1
"annette dejarnett","name",1
"Toni Hunter","name",1
"isabel corral","name",1
"Jose Carasco","name",1
"Chasen Zarcone","name",1
"Gettysburg Street","street",1
"Rotary International Park","establishment",1
"South Main Street","street",6
"Davidsville","city",9
"Forget Me Not Floral & Gift Shoppe","establishment",1
"Hollsopple","city",9
"J R's Shoppe II","establishment",1
"Miller Picking Road","street",1
"Bruce Nurseries","establishment",1
"Mill Street","street",1
"Hollsopple Feed Mill","establishment",1
"Penn Avenue","street",2
"Dollar General","establishment",1
"North Main Street","street",4
"Thomahawk Deli & Grill","establishment",1
"Tom Murray","name",1
"Bryce Maldet","name",1
"Jared Romanoski","name",1
"Somerset Pike","street",1
"Thomas Feed Mill","establishment",1
"Varner's Auto","establishment",1
"Shaunna V","name",1
"Davidsville Fuel","establishment",1
"Bill M","name",1
"Whistler Road","street",1
"Hooversville","city",1
"America's Best Auto Sales","establishment",1
"First Commonwealth Bank","establishment",1
"Esther Drive","street",1
"Budget Blinds","establishment",1
"Treasures of the Earth","establishment",1
"Maple Springs Road","street",1
"Century Farm Crafts","establishment",1
"Burkett Builders","establishment",1
"Tire Hill Road","street",1
"Johnstown","city",1
"AK Auto Repair","establishment",1
"Keeping You Covered Tent Rental","establishment",1
"Township Pharmacy Davidsville","establishment",1
"Wyandt's One Stop","establishment",1
"Blough's Delicatessen","establishment",1
"South Peoria Avenue","street",1
"Tulsa","city",9
"The Yoga Room","establishment",1
"Jordan McEntire","name",1
"South Lewis Avenue","street",1
"YWCA Tulsa","establishment",1
"Ylatan Delrey","name",1
"Hugh Robert","name",1
"Utica Square","street",1
"SALT Yoga","establishment",1
"Anthony Agostino","name",1
"Hita S","name",1
"East 33rd Street","street",1
"Tulsa Yoga Therapy","establishment",1
"Russell Keyes","name",1
"East 6th Street","street",1
"Be Love Yoga Studio","establishment",1
"Be Love Yoga Studio","name",1
"S Harvard Ave # H1","street",1
"Studio Bilancia","establishment",1
"South Detroit Avenue","street",1
"Yoga with Bree","establishment",1
"lululemon athletica Center 1","establishment",1
"Cara Bruner","name",1
"E 33rd St","street",1
"Subtle Breath Yoga","establishment",1
"East Main Street","street",3
"Robinson","city",6
"Maurices","establishment",1
"Court Street","street",1
"Kim's Alterations","establishment",1
"West Main Street","street",2
"Glik's","establishment",1
"Hail Canace","name",1
"East 1050th Avenue","street",1
"Clothing Center Workshop","establishment",1
"Seminole Highway","street",1
"Madison","city",19
"University of Wisconsin-Madison Arboretum","establishment",1
"Zeks Abraham","name",1
"Wyatt Meagher","name",1
"Christine Jacobs","name",1
"subigya subedi","name",1
"Martin Luther King Junior Boulevard","street",1
"Madison Parks Division","establishment",1
"Howard Bjorklund","name",1
"Babcock Drive","street",1
"Allen Centennial Gardens","establishment",1
"Brian Allen","name",1
"Susie Coffman","name",1
"Chung-Han Hsieh","name",1
"North Randall Avenue","street",1
"Camp Randall Memorial Park","establishment",1
"East Gorham Street","street",1
"Period Garden Park","establishment",1
"Jordan Endres","name",1
"West Washington Avenue","street",1
"Brittingham Park","establishment",1
"Nigel Noll","name",1
"Erik Norsetter","name",1
"County Road S","street",1
"Campbellsport","city",1
"Parnell Tower Loop Trail","establishment",1
"Mike Ertz","name",1
"University Avenue","street",1
"Botanical Gardens","establishment",1
"Heather G","name",1
"Luke Haruki","name",1
"Jaron Rosenau","name",1
"Kensington Drive","street",1
"Maple Bluff Country Club","establishment",1
"South Blair Street","street",1
"Law Park","establishment",1
"Phil Butcher","name",1
"Vilas Avenue","street",1
"Bear Mound Park","establishment",1
"South Randall Avenue","street",1
"Vilas Park","establishment",1
"Melissa Orr","name",1
"Olin-Turville Court","street",1
"Olin Park","establishment",1
"Monica Engelbart","name",1
"Jesse Pollock","name",1
"Josh Herritz","name",1
"West Brittingham Place","street",1
"Brittingham Beach","establishment",1
"Jenifer Street","street",1
"Kerr - McGee Triangle Park","establishment",1
"Spaight Street","street",2
"B.B. Clarke Beach","establishment",1
"Orton Park","establishment",1
"Carlos Chacon","name",1
"Glenway Street","street",1
"Reservoir Park","establishment",1
"Fish Hatchery Road","street",1
"Bowman Park","establishment",1
"East Sunset Court","street",1
"Sunset Park","establishment",1
"Christopher Walsh","name",1
"Brinsley Mcnamara","name",1
"West Camden Street","street",1
"Baltimore","city",20
"Dempsey's Brew Pub and Restaurant","establishment",1
"Paul Slebzak","name",1
"Chris Heidelberg","name",1
"Warren Pompey","name",1
"Andrew Parker","name",1
"Jamie Myers","name",1
"Aliceanna Street","street",4
"Roy's","establishment",1
"Phil Miller","name",1
"Alice Wang","name",1
"sabih haq","name",1
"Noble Ackerson","name",1
"Kelly G","name",1
"Blue Moon Cafe","establishment",1
"JJ Kim","name",1
"Krysita Menchaca","name",1
"Richard LIPSKY","name",1
"Mike S","name",1
"Cristine O","name",1
"South Broadway","street",2
"Max's Taphouse","establishment",1
"Jaymes Smith","name",1
"zdp426","name",1
"Todd Parker","name",1
"michelle strain","name",1
"Sheila Chavis","name",1
"East Fort Avenue","street",1
"Himalayan House","establishment",1
"Clinton Davis","name",1
"Kyle Warner","name",1
"Vidyasagar Vasamsetty","name",1
"Akarsh Kumar","name",1
"Pearl Regmi","name",1
"East Pratt Street","street",4
"Phillips Seafood","establishment",1
"Coleman Wimbish","name",1
"Shaka Harrison","name",1
"Adam DeCook","name",1
"Winston Shaffer","name",1
"Robert Northrup","name",1
"International Drive","street",1
"Wit & Wisdom","establishment",1
"Michelle Greaver","name",1
"Tatsuo Suki","name",1
"vickyseidel","name",1
"Phil S","name",1
"Matthew Danowski","name",3
"Chipotle Mexican Grill","establishment",2
"Cristina Weed","name",1
"shuara muhammad","name",1
"Ivan Diaz","name",1
"angela privette","name",1
"Saif Hossain","name",1
"Pulaski Highway","street",1
"Taco Bell","establishment",1
"Kaitlyn Walter","name",1
"Jonus Jonus","name",1
"Ashley Matthews","name",1
"O Donnell Street","street",1
"Nacho Mama's","establishment",1
"Mady Jatta","name",2
"c law","name",1
